User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
2863,4487.63,1,10.0,2,1,4,29,8,3,0
1779,1091.44,4,21.0,0,4,1,65,14,4,0
3977,2524.1000000000004,1,14.0,0,1,4,74,4,3,0
4104,4404.42,3,12.0,2,0,2,36,9,3,0
4119,179.39,4,22.0,0,6,2,66,12,3,0
1502,49997.8,4,3.0,0,4,3,108,8,4,0
3454,2055.94,3,12.0,1,4,4,68,13,4,0
4645,3291.58,1,7.0,3,5,0,38,3,3,0
2751,1865.16,0,14.0,2,0,1,96,1,0,0
1804,3479.1,3,1.0,1,5,2,14,11,2,0
3146,1275.2,1,19.0,1,0,1,97,11,3,0
3731,114.54,0,12.0,2,5,3,86,2,4,0
2895,4739.2,2,2.0,2,0,3,82,12,1,1
3773,86.76,2,3.0,2,4,4,117,6,4,0
2570,4121.38,2,4.0,1,2,3,76,13,3,0
1960,849.84,0,4.0,0,6,2,76,7,4,0
4810,1964.14,4,12.0,2,0,0,6,8,3,0
3660,4113.35,2,19.0,2,0,0,5,5,0,0
2485,1033.63,2,11.0,2,3,0,11,8,4,0
3690,4329.21,4,22.0,1,0,0,86,6,3,0
4840,2491.31,0,12.0,0,0,1,54,4,4,0
2028,1833.94,0,15.0,0,2,0,117,12,1,0
4289,3313.88,4,20.0,1,6,3,81,2,0,0
1502,1710.24,3,2.0,1,6,4,76,3,4,0
3814,1739.71,4,19.0,1,4,0,2,8,3,0
1397,3668.96,1,2.0,3,2,2,102,9,1,0
1870,1552.61,1,10.0,0,4,0,95,11,1,0
3842,1007.86,3,5.0,2,7,3,78,13,4,0
1392,4039.19,3,13.0,0,0,1,33,2,4,0
1206,4027.83,1,3.0,0,4,1,34,10,4,0
2038,2490.44,4,1.0,0,7,3,101,12,4,0
2881,2635.64,0,14.0,0,5,0,63,2,4,0
4625,3481.9,1,12.0,2,5,3,65,13,0,0
3939,2524.1000000000004,4,11.0,1,2,3,13,14,1,1
2484,2088.11,1,13.0,1,0,3,1,3,0,0
4762,4974.5,0,17.0,0,2,2,27,13,1,0
4646,742.46,1,13.0,0,1,3,20,10,4,0
1863,2965.68,1,3.0,2,3,0,59,7,4,0
3790,4429.89,0,17.0,0,4,1,39,6,4,1
4312,3437.64,2,12.0,2,5,1,16,4,1,0
1563,4405.21,1,16.0,0,0,2,48,3,4,0
2020,1684.99,1,0.0,1,7,1,105,9,3,0
1095,1363.6,1,15.0,0,1,1,69,14,3,0
2923,4257.11,3,6.0,0,0,3,42,10,4,0
2757,1973.6,3,22.0,2,4,1,8,9,0,0
3532,3549.86,0,7.0,0,4,3,52,13,1,0
4478,743.0,4,18.0,1,5,1,7,12,0,0
3278,3780.41,3,13.0,1,4,2,89,11,3,0
3796,2747.17,0,19.0,2,2,3,3,1,0,0
2678,1346.72,3,18.0,1,1,3,7,11,4,0
4242,2475.05,4,17.0,2,2,4,5,14,2,0
1540,3486.23,3,21.0,1,1,0,98,9,4,0
2059,64.37,2,18.0,2,0,3,80,1,4,0
3572,3189.15,4,13.0,1,4,2,54,12,4,0
2183,2710.25,4,3.0,2,6,4,33,13,0,0
4910,1105.33,3,16.0,1,3,4,7,14,3,0
2722,3766.14,3,10.0,0,5,4,98,13,1,0
4314,1520.79,1,23.0,2,6,4,83,13,3,0
4157,1387.92,1,17.0,1,6,1,119,7,3,0
2819,2358.74,4,12.0,1,6,3,106,14,3,0
3625,3382.37,1,8.0,0,0,3,30,11,4,0
3729,4644.59,1,6.0,2,6,1,59,7,1,0
3604,711.08,1,12.0,1,0,2,61,4,3,0
2597,1985.36,2,0.0,2,0,4,8,12,4,0
4060,339.61,1,12.0,0,6,4,102,9,0,0
3693,3793.96,1,20.0,1,6,1,70,12,4,0
1795,2241.43,2,10.0,0,4,0,56,10,4,0
2051,3536.11,3,2.0,2,5,2,19,11,4,0
2643,1614.36,4,12.0,1,2,2,19,9,4,0
4627,4222.36,0,10.0,0,5,2,118,5,4,0
2363,2676.47,3,12.0,0,1,3,62,8,0,0
4869,4718.32,2,21.0,3,4,2,100,7,4,0
2981,398.68,2,20.0,0,2,2,23,13,1,0
2354,2573.81,4,22.0,3,1,1,51,9,4,0
2663,3833.44,1,17.0,1,7,4,70,2,0,0
2529,49997.8,0,3.0,2,0,3,103,6,4,0
3038,120.85,0,14.0,1,5,4,8,4,1,0
4419,4861.83,0,17.0,2,6,2,54,10,0,0
2496,1494.83,3,19.0,0,5,1,25,1,0,0
4302,1250.14,2,8.0,2,7,2,43,7,4,0
3237,2430.87,0,8.0,1,2,2,78,9,3,0
4296,2713.08,0,14.0,0,7,1,43,12,3,0
2408,3832.61,1,12.0,0,1,2,13,5,0,0
2400,1969.4,3,5.0,2,2,0,77,6,3,0
2306,49997.8,2,1.0,0,5,3,78,9,4,0
3680,2677.12,4,11.0,2,6,4,115,6,1,0
3675,1974.96,1,18.0,0,2,0,84,1,1,0
1972,4573.17,1,16.0,1,0,2,31,6,0,0
2768,4257.0,1,15.0,0,3,1,22,3,4,0
2282,2277.59,0,12.0,2,6,1,19,14,4,0
4430,5.97,4,1.0,0,3,0,2,5,3,0
1709,4505.17,3,21.0,0,7,2,98,2,4,0
2479,626.06,2,3.0,0,3,1,75,7,0,0
2434,1226.34,3,9.0,2,0,4,39,1,3,0
1648,766.04,1,18.0,2,6,3,84,12,1,0
1317,903.18,4,13.0,0,0,0,92,10,4,0
4748,4015.37,3,4.0,3,0,1,84,12,0,0
4296,2899.61,3,10.0,0,2,0,117,2,4,0
4890,4780.7,1,11.0,0,2,3,38,1,1,0
2257,1161.11,1,8.0,2,5,0,93,3,4,0
1683,2524.1000000000004,3,4.0,2,3,1,54,8,3,0
1663,4887.25,3,14.0,0,5,2,75,4,0,0
2998,2524.1000000000004,0,21.0,1,3,0,70,5,3,0
4898,3644.44,4,4.0,1,7,0,9,5,3,0
4445,948.93,1,8.0,0,1,1,30,3,1,0
4743,3848.18,2,14.0,2,1,1,77,2,3,0
2631,1741.09,2,22.0,1,2,2,41,10,2,0
2495,2655.03,1,4.0,1,3,1,90,3,4,0
4304,3047.76,4,11.0,2,0,0,92,1,3,0
4763,3048.77,2,22.0,0,0,3,111,13,0,0
2136,3633.98,0,17.0,1,7,4,47,10,4,0
2853,3310.2,1,23.0,0,2,4,33,8,1,0
2520,346.51,2,6.0,0,0,1,42,3,4,1
3489,2289.45,2,17.0,0,6,0,99,4,4,0
1563,3321.79,1,2.0,2,5,4,32,13,2,0
2291,1483.48,4,23.0,2,2,4,107,1,0,0
4581,1568.72,1,12.0,3,0,4,4,5,1,0
4878,627.21,3,20.0,2,6,3,54,11,1,0
4457,2095.98,2,17.0,2,6,3,75,14,1,0
4458,4934.22,3,9.0,2,0,0,48,11,3,0
4184,1430.17,4,6.0,1,3,2,106,2,0,0
2636,2659.53,3,17.0,2,7,0,104,1,3,0
4696,2524.1000000000004,4,18.0,2,5,2,16,10,4,0
3999,72.42,1,0.0,2,0,4,45,9,1,1
4152,4502.7,0,8.0,1,2,4,9,11,1,0
1698,1935.82,0,20.0,2,2,4,84,13,4,0
3160,4346.23,1,15.0,0,3,3,31,3,4,0
1001,199.54,2,16.0,2,5,2,50,7,4,0
1641,732.59,4,17.0,1,6,2,26,14,0,0
3267,1616.03,3,8.0,1,0,3,104,10,3,0
2589,1730.58,0,13.0,1,4,1,64,7,0,0
1854,4239.73,3,23.0,0,0,3,10,12,4,0
2759,60.95,3,16.0,0,0,3,39,14,0,0
4296,3207.35,3,9.0,0,3,1,76,6,1,0
3432,660.91,2,9.0,1,3,1,100,5,0,0
4474,4116.96,0,21.0,0,4,1,40,3,4,0
2661,3893.97,3,20.0,2,6,3,66,4,1,0
2153,49997.8,3,18.0,2,6,2,85,2,3,0
2076,1067.37,0,19.0,0,6,2,12,2,1,0
2707,3174.3,3,9.0,1,3,0,70,4,4,0
3777,785.51,4,21.0,1,1,4,102,12,4,0
2695,954.17,0,12.0,3,1,3,116,12,1,0
2733,3135.32,3,11.0,1,1,4,72,10,1,0
2439,4956.19,2,11.0,2,3,2,39,3,0,0
3294,4455.85,4,23.0,2,4,4,7,13,0,0
1835,2967.57,1,7.0,0,4,4,84,3,1,0
4510,2694.99,2,3.0,1,0,1,60,11,4,0
1202,4991.93,1,12.0,1,6,1,109,13,0,1
4255,2739.25,1,23.0,0,1,2,12,3,0,0
1122,2103.48,3,2.0,2,2,4,93,14,3,0
1400,4548.23,4,23.0,0,1,0,101,12,3,0
1766,1174.75,3,14.0,0,5,0,66,2,4,0
1293,492.14,2,12.0,0,4,2,101,14,4,0
3327,2524.1000000000004,1,6.0,1,3,1,67,4,2,0
4908,483.77,3,7.0,2,2,1,95,5,1,0
3931,1868.88,2,17.0,2,4,1,6,9,4,0
4681,49997.8,2,0.0,1,2,4,4,14,0,0
1197,2739.95,1,11.0,0,7,4,63,14,4,0
4029,4958.34,3,9.0,0,3,4,32,9,3,0
2930,1108.8,4,13.0,2,2,4,50,14,3,0
4582,1881.9,2,17.0,2,3,1,19,9,1,1
3799,665.54,3,12.0,0,1,0,79,6,1,0
3191,3040.03,4,4.0,0,0,3,11,2,1,1
1608,3639.73,1,8.0,1,0,0,94,4,3,0
4272,2524.1000000000004,4,23.0,2,0,0,25,14,0,0
2147,49997.8,1,22.0,0,4,0,41,10,0,0
1186,3106.34,2,19.0,2,4,4,117,8,3,0
4397,2698.09,0,11.0,1,0,2,111,10,0,0
3511,860.07,0,15.0,1,0,1,13,13,3,0
4420,2031.38,2,10.0,1,2,0,69,12,1,0
2794,2178.81,4,2.0,0,7,3,113,7,1,0
1659,4913.18,0,19.0,1,6,1,65,6,3,0
3811,4247.18,1,14.0,0,5,1,84,11,3,0
4002,3673.18,2,7.0,0,1,3,49,10,1,0
2955,4444.44,3,12.0,2,6,2,48,9,3,0
3450,3678.74,0,5.0,2,3,2,119,9,1,0
2369,4517.49,4,11.0,2,4,0,109,8,4,0
2986,277.49,2,19.0,1,5,3,27,10,4,0
2534,2283.05,0,2.0,2,2,1,76,5,1,0
1146,3735.76,0,7.0,1,4,4,52,5,4,0
4219,2918.56,2,17.0,2,1,4,75,5,4,0
3911,879.95,3,7.0,2,0,3,100,1,4,0
2734,1705.76,2,20.0,1,3,3,12,3,3,0
2843,1592.28,3,8.0,2,1,3,22,5,0,0
1488,1310.43,2,12.0,0,1,4,72,5,2,0
3976,1718.96,1,9.0,2,7,4,59,5,4,0
2959,2576.69,1,14.0,0,4,0,24,4,4,0
2663,4275.07,2,7.0,0,1,2,23,6,1,0
3598,3711.45,3,14.0,1,2,2,97,6,1,0
3385,4177.07,0,18.0,0,7,0,28,9,3,0
3919,4418.6,2,3.0,2,2,1,50,7,1,0
1640,2083.67,0,11.0,1,3,0,15,14,1,1
2802,1733.4,2,8.0,2,3,4,25,5,1,0
3520,292.83,4,5.0,2,6,4,78,12,1,0
2969,4652.81,3,14.0,2,3,0,2,6,3,0
3198,333.79,4,18.0,2,5,4,18,8,1,0
2438,3706.97,4,23.0,0,0,1,24,6,0,0
4369,1893.65,3,12.0,0,2,4,9,9,3,0
2634,4744.16,2,8.0,1,3,1,24,2,0,0
1262,2100.91,3,10.0,1,4,2,20,1,4,0
2787,4083.96,3,11.0,0,1,0,77,5,0,0
3191,1416.86,1,17.0,1,2,4,35,5,3,1
3393,1498.95,1,11.0,2,4,2,105,11,2,0
1623,2979.62,0,20.0,1,5,1,45,12,3,1
2016,4989.92,3,15.0,1,5,3,93,3,3,0
4643,2590.27,4,12.0,2,6,4,24,14,0,0
1880,4681.86,4,2.0,0,0,2,64,7,3,0
3049,3932.32,1,0.0,3,1,4,62,5,1,0
3944,3980.34,3,20.0,1,5,1,48,1,3,0
2327,2182.62,2,6.0,0,3,3,75,4,0,0
3301,1935.78,1,17.0,1,2,4,23,1,3,0
4723,963.65,1,1.0,0,0,4,66,2,0,0
1452,4819.89,4,10.0,1,0,1,47,2,0,0
4108,4797.17,2,2.0,2,6,3,26,8,4,0
2183,3736.6,2,9.0,2,0,3,31,4,3,0
4062,1484.78,4,12.0,2,2,4,5,3,3,0
3056,1229.67,4,23.0,0,5,0,27,12,3,0
4304,4943.11,4,21.0,1,6,3,70,10,4,0
4170,337.38,2,18.0,0,2,4,24,8,1,0
2682,4218.6,2,18.0,2,2,0,62,7,0,1
3863,1780.51,1,9.0,1,5,2,30,11,0,0
3255,2097.25,0,22.0,1,1,4,38,13,4,0
2154,4160.73,1,12.0,1,2,4,13,10,4,0
1403,457.56,3,2.0,0,6,0,2,10,3,0
3199,1774.08,0,1.0,1,2,0,4,4,4,0
3101,4760.36,2,20.0,0,2,2,100,7,1,0
4191,2524.1000000000004,1,12.0,2,6,1,83,11,0,0
2696,3775.92,2,15.0,2,1,2,115,3,4,0
4991,3788.74,0,16.0,2,3,1,2,1,3,0
1627,307.55,2,12.0,2,4,2,57,13,0,0
1586,1020.02,1,16.0,1,1,1,111,2,3,0
2648,2458.86,0,19.0,0,0,1,41,10,3,0
2443,1843.91,1,23.0,1,5,3,74,7,4,0
2445,2057.51,1,7.0,1,7,3,110,14,1,0
1103,3908.33,2,5.0,0,6,0,39,14,3,0
4923,78.32,0,22.0,1,1,2,79,7,4,0
1253,3304.16,2,7.0,2,1,3,22,10,3,0
4298,5.55,0,22.0,0,0,3,115,14,3,0
4183,319.98,3,1.0,0,3,4,38,13,1,0
3557,2044.39,3,21.0,1,5,2,114,13,3,0
2496,4205.54,0,19.0,3,5,1,13,7,4,0
1098,729.25,2,16.0,1,2,3,18,14,1,0
3200,2775.33,4,11.0,1,4,0,102,5,3,0
2884,3394.13,0,0.0,2,4,4,113,8,0,0
3961,1151.52,1,4.0,2,0,3,74,5,3,1
2919,49997.8,3,18.0,2,4,4,109,12,4,0
1877,4557.48,0,12.0,1,0,0,27,9,4,1
1337,2563.58,0,12.0,1,0,1,82,4,4,0
4777,790.83,0,12.0,0,5,1,77,2,3,0
3869,3140.93,1,22.0,0,3,4,110,9,4,0
4234,2963.04,2,9.0,1,2,1,29,14,4,0
4791,139.64,4,21.0,2,5,3,39,2,1,1
1956,2524.1000000000004,1,3.0,1,7,1,117,1,3,0
2704,788.12,4,22.0,1,2,1,60,8,3,0
1160,685.76,3,10.0,1,7,4,50,6,3,0
2603,1301.03,4,19.0,0,2,1,21,4,3,1
3848,2273.26,4,5.0,1,2,0,108,14,3,0
1397,2524.1000000000004,3,2.0,1,1,4,54,6,1,0
2300,4453.8,1,4.0,0,7,1,109,3,4,0
1815,3062.49,1,11.0,1,3,0,89,7,4,0
4987,49997.8,3,0.0,0,3,0,104,9,1,0
2527,2637.56,1,12.0,1,4,2,44,10,1,0
2919,453.9,2,10.0,0,1,1,4,14,1,0
2415,2319.12,4,13.0,1,2,3,58,3,4,1
2158,4111.05,1,13.0,0,0,4,44,13,1,0
2218,974.55,4,21.0,1,0,3,87,9,0,0
1400,460.62,1,13.0,2,5,3,21,8,0,0
1639,1650.53,4,2.0,1,2,4,62,12,4,0
4104,1947.54,3,13.0,0,5,2,10,14,4,0
3735,1534.76,3,0.0,2,3,3,59,11,1,0
1459,680.53,3,8.0,3,1,3,100,1,3,0
1954,1257.95,2,21.0,0,6,1,23,11,3,0
4954,3413.0,2,8.0,0,1,3,24,5,3,0
1469,1932.71,3,12.0,2,7,2,97,5,1,0
4446,3164.58,4,5.0,2,4,0,45,12,4,0
2045,2683.84,3,2.0,0,6,2,50,5,1,0
3797,2747.52,3,7.0,1,2,0,4,5,4,0
2693,1246.51,0,5.0,0,2,1,39,7,3,0
3085,2610.11,2,12.0,2,5,0,35,4,1,0
3277,122.86,2,2.0,2,0,4,27,11,1,0
4436,2161.56,3,14.0,1,3,4,95,3,4,0
1562,2865.25,3,12.0,0,3,3,57,6,1,0
3485,914.07,0,23.0,2,4,1,52,1,3,0
2799,1286.51,0,3.0,1,6,1,96,9,3,0
4354,1101.56,2,14.0,0,1,3,96,8,3,0
3074,357.44,2,0.0,0,5,3,58,9,2,0
1225,1742.55,2,4.0,0,0,1,114,4,4,0
4348,4894.93,2,13.0,1,5,2,40,3,2,0
1797,2524.1000000000004,4,9.0,0,0,1,35,13,3,0
4680,2305.38,3,17.0,0,7,2,102,12,3,0
3331,3267.17,4,20.0,0,6,0,61,8,0,0
3926,3244.25,1,0.0,1,7,0,87,2,0,0
1959,4749.73,2,14.0,2,3,1,34,1,3,0
2504,4288.53,2,2.0,0,7,1,49,7,1,0
1452,3970.78,3,13.0,2,4,2,72,8,0,0
4067,4758.38,2,22.0,0,3,0,7,11,4,0
4900,1157.67,2,11.0,1,4,2,36,8,3,0
1815,3087.19,4,6.0,1,3,2,48,12,3,0
1658,4436.55,1,19.0,1,0,1,25,6,0,0
4587,3122.57,4,13.0,0,4,2,78,5,4,0
1546,4887.22,0,18.0,1,1,4,9,3,0,0
2215,506.26,2,3.0,2,5,1,101,11,4,0
4120,2199.46,4,19.0,1,7,2,41,14,1,0
4583,4886.93,3,12.0,1,3,4,114,8,4,0
1016,2524.1000000000004,1,13.0,2,3,0,39,12,0,1
4243,3699.08,1,7.0,1,6,3,29,5,0,0
2243,156.86,3,17.0,0,2,3,84,2,4,0
3205,3475.71,3,4.0,2,7,4,12,13,1,0
3524,4673.46,2,20.0,1,6,2,54,4,3,0
2069,1916.62,1,10.0,2,0,4,119,10,3,0
4444,111.39,3,20.0,2,6,3,20,13,1,0
3565,144.41,0,23.0,0,2,3,67,13,4,0
3146,4460.66,1,8.0,0,6,3,57,12,1,0
4963,3613.97,3,0.0,2,2,3,27,9,1,0
2768,2524.1000000000004,4,5.0,2,5,0,70,12,0,1
2060,277.68,3,7.0,1,4,4,75,1,0,0
3327,4025.1,1,0.0,2,5,2,116,1,1,0
4420,4050.25,2,3.0,1,7,0,40,5,1,0
3544,607.01,0,12.0,3,2,1,11,1,1,0
1301,1511.09,3,11.0,1,0,1,73,12,0,0
1180,3901.23,1,23.0,1,2,2,91,14,1,1
1606,2629.43,3,23.0,0,0,3,2,8,1,0
4170,4783.14,3,20.0,1,5,1,45,11,1,0
1699,2524.1000000000004,1,3.0,0,4,1,88,5,3,0
1992,3386.4,4,14.0,1,1,3,20,2,0,0
2139,2551.37,1,9.0,1,4,4,55,6,4,0
1190,4715.11,1,6.0,1,3,4,61,7,0,0
3300,2524.1000000000004,2,18.0,1,4,4,109,11,2,1
1980,1152.83,3,0.0,1,2,3,73,10,0,0
3975,1636.54,3,8.0,0,5,0,92,11,1,0
3006,4264.61,1,4.0,3,0,4,33,8,3,0
2184,2492.2,4,12.0,1,3,3,11,5,4,1
